COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
65000,新北市,65000010,板橋區,468604,459821,461811,553665,547852,552865,109Y11M
65000,新北市,65000020,三重區,353762,336820,343466,402368,379533,395318,109Y11M
65000,新北市,65000030,中和區,414013,398795,408358,439917,417541,433865,109Y11M
65000,新北市,65000040,永和區,169268,157426,161573,215493,199485,210496,109Y11M
65000,新北市,65000050,新莊區,381702,374563,377239,426704,419179,426607,109Y11M
65000,新北市,65000060,新店區,316147,303348,309344,332771,315198,328460,109Y11M
65000,新北市,65000070,樹林區,190785,187977,189656,195384,190928,195311,109Y11M
65000,新北市,65000080,鶯歌區,81480,80218,80939,87876,86757,87625,109Y11M
65000,新北市,65000090,三峽區,105834,104205,104524,123685,120884,122589,109Y11M
65000,新北市,65000100,淡水區,200804,192902,196262,227406,220763,225959,109Y11M
65000,新北市,65000110,汐止區,234013,223014,227807,247347,232960,243506,109Y11M
65000,新北市,65000120,瑞芳區,33380,33374,33374,36259,36704,35860,109Y11M
65000,新北市,65000130,土城區,211738,205000,207403,229233,218697,225948,109Y11M
65000,新北市,65000140,蘆洲區,150543,142963,145716,193690,182361,190832,109Y11M
65000,新北市,65000150,五股區,131500,128237,130717,107895,103437,106893,109Y11M
65000,新北市,65000160,泰山區,97232,95286,96175,95327,91470,94406,109Y11M
65000,新北市,65000170,林口區,127658,126810,127409,139516,143771,141132,109Y11M
65000,新北市,65000180,深坑區,29127,27933,28657,28912,28076,28824,109Y11M
65000,新北市,65000190,石碇區,7084,7040,6973,8816,9356,8749,109Y11M
65000,新北市,65000200,坪林區,3707,3698,3635,5788,6234,5777,109Y11M
65000,新北市,65000210,三芝區,18875,18717,18639,20638,20673,20507,109Y11M
65000,新北市,65000220,石門區,5620,5531,5601,5757,5900,5643,109Y11M
65000,新北市,65000230,八里區,48517,47251,47821,47979,46819,47437,109Y11M
65000,新北市,65000240,平溪區,2633,2666,2604,4067,4447,4022,109Y11M
65000,新北市,65000250,雙溪區,4741,4631,4660,6157,6482,6243,109Y11M
65000,新北市,65000260,貢寮區,7079,6999,7022,9801,9671,9330,109Y11M
65000,新北市,65000270,金山區,15714,15535,15509,19647,20098,19171,109Y11M
65000,新北市,65000280,萬里區,13460,13227,13256,15561,15670,15017,109Y11M
65000,新北市,65000290,烏來區,3936,4048,3876,5837,6222,5384,109Y11M
63000,臺北市,63000010,松山區,278577,294479,288682,207148,218976,211526,109Y11M
63000,臺北市,63000020,信義區,312330,338883,328477,244931,301650,266716,109Y11M
63000,臺北市,63000030,大安區,448353,496305,476810,356418,394107,371353,109Y11M
63000,臺北市,63000040,中山區,453504,484182,471923,331447,359996,340438,109Y11M
63000,臺北市,63000050,中正區,318569,345815,333549,223195,267469,237208,109Y11M
63000,臺北市,63000060,大同區,143388,149558,146631,130048,143113,134317,109Y11M
63000,臺北市,63000070,萬華區,161837,162279,160601,183850,185284,183265,109Y11M
63000,臺北市,63000080,文山區,221079,210668,215166,252317,240318,249444,109Y11M
63000,臺北市,63000090,南港區,168901,170643,170328,135421,149331,141019,109Y11M
63000,臺北市,63000100,內湖區,385468,388762,390671,292090,286475,292574,109Y11M
63000,臺北市,63000110,士林區,283476,280044,281141,286366,285187,286371,109Y11M
63000,臺北市,63000120,北投區,249467,242226,244263,243647,235543,239692,109Y11M
68000,桃園市,68000010,桃園區,401364,403195,401918,440559,440225,442199,109Y11M
68000,桃園市,68000020,中壢區,450257,454518,451317,469583,490444,474835,109Y11M
68000,桃園市,68000030,大溪區,82238,82166,81939,91237,93323,91201,109Y11M
68000,桃園市,68000040,楊梅區,179617,177855,179200,180029,177513,179862,109Y11M
68000,桃園市,68000050,蘆竹區,278499,277114,274994,199107,199704,199396,109Y11M
68000,桃園市,68000060,大園區,153151,158623,159865,132083,138154,137933,109Y11M
68000,桃園市,68000070,龜山區,315950,311267,313829,249477,242195,247414,109Y11M
68000,桃園市,68000080,八德區,175644,174803,175218,191971,191512,192913,109Y11M
68000,桃園市,68000090,龍潭區,139799,138189,138984,133724,133926,133390,109Y11M
68000,桃園市,68000100,平鎮區,202060,199263,200448,215780,210499,214451,109Y11M
68000,桃園市,68000110,新屋區,54826,54511,54690,55759,56423,55912,109Y11M
68000,桃園市,68000120,觀音區,97650,95668,96689,84893,82625,84045,109Y11M
68000,桃園市,68000130,復興區,7763,7687,7763,13550,13132,13149,109Y11M
66000,臺中市,66000010,中區,21887,23711,22578,22347,25530,22872,109Y11M
66000,臺中市,66000020,東區,76757,75410,75833,85360,85909,84697,109Y11M
66000,臺中市,66000030,南區,136222,133158,134292,143053,136538,141618,109Y11M
