縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數_統計,假日夜間停留人數_統計,資料時間_統計
65000,新北市,65000010,板橋區,577007,574620,109Y11M
65000,新北市,65000020,三重區,426580,424259,109Y11M
65000,新北市,65000030,中和區,470287,466276,109Y11M
65000,新北市,65000040,永和區,232342,230134,109Y11M
65000,新北市,65000050,新莊區,446481,443620,109Y11M
65000,新北市,65000060,新店區,346150,343603,109Y11M
65000,新北市,65000070,樹林區,202270,202721,109Y11M
65000,新北市,65000080,鶯歌區,90900,91143,109Y11M
65000,新北市,65000090,三峽區,120827,121910,109Y11M
65000,新北市,65000100,淡水區,235166,234006,109Y11M
65000,新北市,65000110,汐止區,259462,259805,109Y11M
65000,新北市,65000120,瑞芳區,33298,34345,109Y11M
65000,新北市,65000130,土城區,242008,240563,109Y11M
65000,新北市,65000140,蘆洲區,210422,210220,109Y11M
65000,新北市,65000150,五股區,112579,109709,109Y11M
65000,新北市,65000160,泰山區,101023,98966,109Y11M
65000,新北市,65000170,林口區,138129,138265,109Y11M
65000,新北市,65000180,深坑區,30628,30581,109Y11M
65000,新北市,65000190,石碇區,6719,6984,109Y11M
65000,新北市,65000200,坪林區,3071,3786,109Y11M
65000,新北市,65000210,三芝區,21841,21534,109Y11M
65000,新北市,65000220,石門區,5102,5172,109Y11M
65000,新北市,65000230,八里區,47451,47345,109Y11M
65000,新北市,65000240,平溪區,2439,2828,109Y11M
65000,新北市,65000250,雙溪區,4538,5162,109Y11M
65000,新北市,65000260,貢寮區,6502,7553,109Y11M
65000,新北市,65000270,金山區,15678,17104,109Y11M
65000,新北市,65000280,萬里區,12752,13950,109Y11M
65000,新北市,65000290,烏來區,3229,3834,109Y11M
63000,臺北市,63000010,松山區,201847,198307,109Y11M
63000,臺北市,63000020,信義區,236301,234946,109Y11M
63000,臺北市,63000030,大安區,334939,327922,109Y11M
63000,臺北市,63000040,中山區,314134,308580,109Y11M
63000,臺北市,63000050,中正區,183571,178225,109Y11M
63000,臺北市,63000060,大同區,125418,125027,109Y11M
63000,臺北市,63000070,萬華區,183951,186390,109Y11M
63000,臺北市,63000080,文山區,260906,256102,109Y11M
63000,臺北市,63000090,南港區,123953,122662,109Y11M
63000,臺北市,63000100,內湖區,294476,286916,109Y11M
63000,臺北市,63000110,士林區,286684,283098,109Y11M
63000,臺北市,63000120,北投區,243777,239494,109Y11M
68000,桃園市,68000010,桃園區,443150,447526,109Y11M
68000,桃園市,68000020,中壢區,468601,468876,109Y11M
68000,桃園市,68000030,大溪區,89265,91840,109Y11M
68000,桃園市,68000040,楊梅區,181003,181317,109Y11M
68000,桃園市,68000050,蘆竹區,262574,199968,109Y11M
68000,桃園市,68000060,大園區,125738,121831,109Y11M
68000,桃園市,68000070,龜山區,259439,246122,109Y11M
68000,桃園市,68000080,八德區,199330,200933,109Y11M
68000,桃園市,68000090,龍潭區,130786,130755,109Y11M
68000,桃園市,68000100,平鎮區,225189,225231,109Y11M
68000,桃園市,68000110,新屋區,52784,53746,109Y11M
68000,桃園市,68000120,觀音區,81982,81389,109Y11M
68000,桃園市,68000130,復興區,6855,9511,109Y11M
66000,臺中市,66000010,中區,19009,20498,109Y11M
66000,臺中市,66000020,東區,81226,81823,109Y11M
66000,臺中市,66000030,南區,151530,147685,109Y11M
66000,臺中市,66000040,西區,133233,130641,109Y11M
66000,臺中市,66000050,北區,193464,190248,109Y11M
66000,臺中市,66000060,西屯區,349055,335409,109Y11M
66000,臺中市,66000070,南屯區,202124,198828,109Y11M
66000,臺中市,66000080,北屯區,294667,297223,109Y11M
66000,臺中市,66000090,豐原區,146189,147625,109Y11M
66000,臺中市,66000100,東勢區,36554,39307,109Y11M
66000,臺中市,66000110,大甲區,70767,72278,109Y11M
66000,臺中市,66000120,清水區,79074,79961,109Y11M
66000,臺中市,66000130,沙鹿區,112834,107342,109Y11M
66000,臺中市,66000140,梧棲區,65644,63685,109Y11M
66000,臺中市,66000150,后里區,56870,55406,109Y11M
66000,臺中市,66000160,神岡區,68693,66966,109Y11M
66000,臺中市,66000170,潭子區,112942,113350,109Y11M
66000,臺中市,66000180,大雅區,107351,103995,109Y11M
66000,臺中市,66000190,新社區,22407,22432,109Y11M
66000,臺中市,66000200,石岡區,11220,12052,109Y11M
66000,臺中市,66000210,外埔區,26969,27648,109Y11M
66000,臺中市,66000220,大安區,14584,14973,109Y11M
66000,臺中市,66000230,烏日區,92898,90152,109Y11M
66000,臺中市,66000240,大肚區,52840,53330,109Y11M
66000,臺中市,66000250,龍井區,89218,88029,109Y11M
66000,臺中市,66000260,霧峰區,81867,78930,109Y11M
66000,臺中市,66000270,太平區,191780,191518,109Y11M
66000,臺中市,66000280,大里區,202540,200622,109Y11M
66000,臺中市,66000290,和平區,16421,20908,109Y11M
67000,臺南市,67000010,新營區,67253,68412,109Y11M
67000,臺南市,67000020,鹽水區,19690,20512,109Y11M
67000,臺南市,67000030,白河區,22117,23742,109Y11M
67000,臺南市,67000040,柳營區,20929,20818,109Y11M
67000,臺南市,67000050,後壁區,24538,25528,109Y11M
67000,臺南市,67000060,東山區,12960,13858,109Y11M
67000,臺南市,67000070,麻豆區,39434,40531,109Y11M
67000,臺南市,67000080,下營區,15750,16747,109Y11M
67000,臺南市,67000090,六甲區,15615,16502,109Y11M
67000,臺南市,67000100,官田區,24512,22935,109Y11M
67000,臺南市,67000110,大內區,7436,7339,109Y11M
67000,臺南市,67000120,佳里區,48073,49682,109Y11M
67000,臺南市,67000130,學甲區,18238,19313,109Y11M
67000,臺南市,67000140,西港區,20172,20692,109Y11M
67000,臺南市,67000150,七股區,13635,14017,109Y11M
67000,臺南市,67000160,將軍區,11967,12464,109Y11M
67000,臺南市,67000170,北門區,8007,8712,109Y11M
67000,臺南市,67000180,新化區,37109,37132,109Y11M
67000,臺南市,67000190,善化區,67629,64937,109Y11M
67000,臺南市,67000200,新市區,66502,63092,109Y11M
67000,臺南市,67000210,安定區,31829,30825,109Y11M
67000,臺南市,67000220,山上區,5916,6236,109Y11M
67000,臺南市,67000230,玉井區,9536,10262,109Y11M
67000,臺南市,67000240,楠西區,6163,6861,109Y11M
67000,臺南市,67000250,南化區,4214,4731,109Y11M
67000,臺南市,67000260,左鎮區,2638,2937,109Y11M
67000,臺南市,67000270,仁德區,94357,92051,109Y11M
67000,臺南市,67000280,歸仁區,66030,64078,109Y11M
67000,臺南市,67000290,關廟區,29618,30305,109Y11M
67000,臺南市,67000300,龍崎區,1664,1755,109Y11M
67000,臺南市,67000310,永康區,280816,274486,109Y11M
67000,臺南市,67000320,東區,177707,177038,109Y11M
67000,臺南市,67000330,南區,110565,111202,109Y11M
